SP-[1] Epoch: 1/1600 | Time: 0m08s (Train 0m07s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.86  Acc 46.05% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.53  Acc 50.09% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.40  Acc 54.78% | Val: Loss 0.14  Acc(top1) 36.70% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.35  Acc 59.56% | Val: Loss 0.08  Acc(top1) 40.98% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.31  Acc 60.75% | Val: Loss 0.11  Acc(top1) 39.45% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.30  Acc 63.33% | Val: Loss 0.03  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.28  Acc 62.87% | Val: Loss 0.12  Acc(top1) 38.84% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 65.62% | Val: Loss 0.13  Acc(top1) 37.92% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.25  Acc 65.62% | Val: Loss -0.01  Acc(top1) 46.18% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.25  Acc 65.72% | Val: Loss -0.01  Acc(top1) 48.32% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m07s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 63.33% | Val: Loss 0.11  Acc(top1) 39.45% | HA 0.00@0

