SP-[1] Epoch: 1/1200 | Time: 0m10s (Train 0m08s  Val 0m02s) | Train: LR 0.001  Loss 0.97  Acc 23.52% | Val: Loss -0.38  Acc(top1) 44.93% | HA 0.00@0

SP-[1] Epoch: 2/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.97  Acc 25.25% | Val: Loss nan  Acc(top1) 46.86% | HA 0.00@0

SP-[1] Epoch: 3/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.95  Acc 24.18% | Val: Loss nan  Acc(top1) 45.17% | HA 0.00@0

SP-[1] Epoch: 4/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.92  Acc 28.37% | Val: Loss nan  Acc(top1) 47.58% | HA 0.00@0

SP-[1] Epoch: 5/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.90  Acc 29.36% | Val: Loss nan  Acc(top1) 50.48% | HA 0.00@0

SP-[1] Epoch: 6/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.89  Acc 30.26% | Val: Loss nan  Acc(top1) 52.66% | HA 0.00@0

SP-[1] Epoch: 7/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.89  Acc 29.61% | Val: Loss nan  Acc(top1) 54.11% | HA 0.00@0

SP-[1] Epoch: 8/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.86  Acc 31.09% | Val: Loss nan  Acc(top1) 55.07% | HA 0.00@0

SP-[1] Epoch: 9/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.84  Acc 35.61% | Val: Loss nan  Acc(top1) 56.76% | HA 0.00@0

SP-[1] Epoch: 10/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.001  Loss 0.85  Acc 33.96% | Val: Loss nan  Acc(top1) 57.97% | HA 0.00@0

SP-[1] Epoch: 11/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.01  Loss 0.80  Acc 40.79% | Val: Loss nan  Acc(top1) 66.91% | HA 0.00@0

SP-[1] Epoch: 12/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.01  Loss 0.75  Acc 49.10% | Val: Loss nan  Acc(top1) 66.43% | HA 0.00@0

