SP-[1] Epoch: 1/1800 | Time: 0m09s (Train 0m07s  Val 0m01s) | Train: LR 0.05  Loss 0.87  Acc 31.51% | Val: Loss 1.41  Acc(top1) 25.00% | HA 0.00@0

SP-[1] Epoch: 2/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.78  Acc 44.18% | Val: Loss nan  Acc(top1) 33.62% | HA 0.00@0

SP-[1] Epoch: 3/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.77  Acc 45.40% | Val: Loss nan  Acc(top1) 48.85% | HA 0.00@0

SP-[1] Epoch: 4/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.72  Acc 50.95% | Val: Loss nan  Acc(top1) 40.52% | HA 0.00@0

SP-[1] Epoch: 5/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.71  Acc 50.87% | Val: Loss nan  Acc(top1) 35.92% | HA 0.00@0

SP-[1] Epoch: 6/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.67  Acc 53.65% | Val: Loss nan  Acc(top1) 52.30% | HA 0.00@0

SP-[1] Epoch: 7/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.66  Acc 55.30% | Val: Loss nan  Acc(top1) 52.87% | HA 0.00@0

SP-[1] Epoch: 8/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.67  Acc 51.30% | Val: Loss nan  Acc(top1) 56.61% | HA 0.00@0

SP-[1] Epoch: 9/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.65  Acc 56.60% | Val: Loss nan  Acc(top1) 57.47% | HA 0.00@0

SP-[1] Epoch: 10/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.62  Acc 58.77% | Val: Loss nan  Acc(top1) 67.53% | HA 0.00@0

SP-[1] Epoch: 11/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.70  Acc 50.09% | Val: Loss nan  Acc(top1) 39.66% | HA 0.00@0

SP-[1] Epoch: 12/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.67  Acc 53.91% | Val: Loss nan  Acc(top1) 48.56% | HA 0.00@0

SP-[1] Epoch: 13/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.69  Acc 51.65% | Val: Loss nan  Acc(top1) 61.49% | HA 0.00@0

SP-[1] Epoch: 14/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.67  Acc 55.38% | Val: Loss nan  Acc(top1) 47.99% | HA 0.00@0

SP-[1] Epoch: 15/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.65  Acc 56.77% | Val: Loss nan  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 16/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.66  Acc 54.86% | Val: Loss nan  Acc(top1) 51.72% | HA 0.00@0

SP-[1] Epoch: 17/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.63  Acc 57.03% | Val: Loss nan  Acc(top1) 57.47% | HA 0.00@0

SP-[1] Epoch: 18/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.66  Acc 56.60% | Val: Loss nan  Acc(top1) 43.10% | HA 0.00@0

SP-[1] Epoch: 19/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.63  Acc 57.73% | Val: Loss nan  Acc(top1) 54.02% | HA 0.00@0

SP-[1] Epoch: 20/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.61  Acc 57.73% | Val: Loss nan  Acc(top1) 51.44% | HA 0.00@0

SP-[1] Epoch: 21/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.61  Acc 59.81% | Val: Loss nan  Acc(top1) 37.07% | HA 0.00@0

SP-[1] Epoch: 22/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.63  Acc 55.90% | Val: Loss nan  Acc(top1) 61.21% | HA 0.00@0

SP-[1] Epoch: 23/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.59  Acc 58.77% | Val: Loss nan  Acc(top1) 45.98% | HA 0.00@0

SP-[1] Epoch: 24/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.60  Acc 63.28% | Val: Loss nan  Acc(top1) 68.39% | HA 0.00@0

SP-[1] Epoch: 25/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.61  Acc 59.72% | Val: Loss nan  Acc(top1) 64.66% | HA 0.00@0

SP-[1] Epoch: 26/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.60  Acc 58.77% | Val: Loss nan  Acc(top1) 59.48% | HA 0.00@0

SP-[1] Epoch: 27/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.58  Acc 60.16% | Val: Loss nan  Acc(top1) 54.60% | HA 0.00@0

SP-[1] Epoch: 28/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.56  Acc 59.81% | Val: Loss nan  Acc(top1) 46.26% | HA 0.00@0

SP-[1] Epoch: 29/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.58  Acc 60.59% | Val: Loss nan  Acc(top1) 49.43% | HA 0.00@0

SP-[1] Epoch: 30/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.58  Acc 60.07% | Val: Loss nan  Acc(top1) 38.51% | HA 0.00@0

SP-[1] Epoch: 31/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.58  Acc 60.76% | Val: Loss nan  Acc(top1) 68.10% | HA 0.00@0

SP-[1] Epoch: 32/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.58  Acc 61.20% | Val: Loss nan  Acc(top1) 43.97% | HA 0.00@0

SP-[1] Epoch: 33/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.59  Acc 61.20% | Val: Loss nan  Acc(top1) 33.91% | HA 0.00@0

SP-[1] Epoch: 34/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.5  Loss 0.60  Acc 60.59% | Val: Loss nan  Acc(top1) 43.10% | HA 0.00@0

